serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
200,Gujarat,Kachchh West(B),0,0,0,32,13,0,0,18,0,18,0,1,0,0,0,18,18,0,0,0,0,20,20,0,1,1,0,1,0,0,1,0,36,2,0,0,200,23.1555422,69.7200708,84,0.012055109070034443,98.79448909299656
201,Gujarat,Kheda,0,0,0,42,0,0,0,36,0,36,0,6,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,60,6,0,0,262,22.75,72.833333,0,0.0,100.0
202,Gujarat,Mahisagar,0,0,0,12,11,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,40,4,0,0,84,23.19121945,73.66443984,66,0.00947187141216992,99.05281285878301
203,Gujarat,Mehsana,0,0,0,44,39,0,0,0,0,0,0,5,0,0,0,19,19,0,0,0,0,15,14,1,0,0,0,0,0,0,0,0,73,3,3,0,235,23.60126285,72.37415155,234,0.033582089552238806,96.64179104477611
204,Gujarat,Morbi,5,0,0,25,4,0,0,20,0,20,0,1,0,0,0,8,8,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,35,6,0,0,140,22.8176662,70.8345928,74,0.010619977037887486,98.93800229621125
205,Gujarat,Narmada,0,0,0,4,1,0,0,3,0,3,0,0,0,0,0,3,3,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,32,2,2,0,67,21.73926245,73.62624579,6,0.0008610792192881745,99.91389207807119
206,Gujarat,Navsari,0,0,0,9,3,0,0,6,0,6,0,0,0,0,0,6,6,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,19,2,0,0,63,20.952407,72.9323831,18,0.0025832376578645237,99.74167623421354
207,Gujarat,Panchmahal,1,0,0,46,8,0,0,38,0,38,0,0,0,0,0,16,16,0,0,0,0,13,13,0,0,0,0,1,0,0,0,0,88,0,0,0,278,22.69780985,73.59806821,58,0.008323765786452353,99.16762342135476
208,Gujarat,Patan,0,0,0,12,8,0,0,3,0,3,0,1,0,0,0,10,10,0,0,0,0,20,20,0,0,0,0,3,0,0,0,0,55,1,0,0,146,23.773753,71.67985813,48,0.006888633754305396,99.31113662456946
209,Gujarat,Porbandar,0,0,0,12,2,0,1,8,0,8,0,1,0,0,0,6,6,0,1,0,1,8,8,0,0,0,0,0,0,0,0,0,19,0,0,0,81,21.6409,69.611,21,0.003013777267508611,99.69862227324914
210,Gujarat,Rajkot City,0,0,0,30,14,0,0,16,16,0,0,0,0,0,0,29,29,0,0,0,0,21,21,0,0,0,0,9,0,9,0,0,75,5,2,0,276,22.3053263,70.8028377,147,0.021096440872560275,97.89035591274397
211,Gujarat,Rajkot Rural,0,0,0,24,1,0,0,22,0,22,0,1,0,0,0,10,10,0,0,0,0,14,11,3,0,0,0,0,0,0,0,0,54,3,0,0,175,28.2516657,76.8144185,6,0.0008610792192881745,99.91389207807119
212,Gujarat,Sabarkantha,1,0,0,28,8,0,0,19,13,6,0,1,0,0,0,14,14,0,0,0,0,37,35,2,0,0,0,0,0,0,0,0,52,1,4,0,235,23.86885055,73.01378405,58,0.008323765786452353,99.16762342135476
213,Gujarat,Surat City,2,0,0,168,167,0,0,0,0,0,0,1,1,0,0,52,52,0,0,0,0,61,61,0,1,1,0,0,0,0,0,0,150,58,4,0,779,21.2094892,72.8317058,1022,0.14667049368541907,85.33295063145809
214,Gujarat,Surat Rural,1,0,0,30,13,0,0,16,0,16,0,1,0,0,0,21,21,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,64,4,0,0,207,27.200505,87.1812687,88,0.012629161882893227,98.73708381171068
215,Gujarat,Surendranagar,0,0,0,23,0,0,0,23,0,23,0,0,0,0,0,13,13,0,0,0,0,11,7,4,0,0,0,0,0,0,0,0,57,0,0,0,174,22.75,71.666667,0,0.0,100.0
216,Gujarat,Tapi,0,0,0,3,1,0,0,2,0,2,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,23,21.1916567,73.55606306,6,0.0008610792192881745,99.91389207807119
217,Gujarat,Vadodara City,0,0,0,18,10,0,0,6,0,6,1,1,1,0,0,18,18,0,0,0,0,31,31,0,0,0,0,3,0,1,2,0,44,17,6,0,214,22.2973142,73.1942567,88,0.012629161882893227,98.73708381171068
218,Gujarat,Vadodara Rural,0,0,0,20,8,0,0,12,0,12,0,0,0,0,0,16,16,0,0,0,0,17,11,6,1,0,1,0,0,0,0,0,47,0,0,0,167,22.27975515,73.18154753,48,0.006888633754305396,99.31113662456946
219,Gujarat,Valsad,0,0,0,17,14,0,0,3,0,3,0,0,0,0,0,10,10,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,36,1,0,0,104,20.43219565,73.1409893,84,0.012055109070034443,98.79448909299656
220,Gujarat,W.Rly Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,23.0395701,72.549765,0,0.0,100.0
221,Gujarat,W.Rly Vadodara,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,15,22.3104643,73.1787318,0,0.0,100.0
222,Gujarat,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,2,0,12,23.1126962,72.3984138,0,0.0,100.0
223,Gujarat,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7704416,72.1461291,0,0.0,100.0
224,Gujarat,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4951598,77.0866388,0,0.0,100.0
225,Gujarat,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,23.2547065,72.6489538,0,0.0,100.0
226,Gujarat,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5068304,70.4623329,0,0.0,100.0
227,Gujarat,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7711933,73.6158018,0,0.0,100.0
228,Gujarat,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3072554,70.7948474,0,0.0,100.0
229,Gujarat,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,21.1817564,72.7994281,0,0.0,100.0
230,Gujarat,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2516657,76.8144185,0,0.0,100.0
231,Haryana,Ambala,0,0,0,140,0,0,0,47,47,0,49,44,2,0,0,83,83,0,0,0,0,118,118,0,11,11,0,2,2,0,0,0,59,26,28,0,870,30.3843674,76.770421,457,0.06558553386911596,93.4414466130884
232,Haryana,Bhiwani,0,0,0,60,0,0,0,32,28,4,26,2,0,0,0,57,57,0,19,19,0,105,105,0,8,8,0,1,0,0,1,0,43,34,4,0,613,28.7931703,76.1391283,240,0.034443168771526984,96.5556831228473
233,Haryana,Faridabad,3,0,0,372,175,0,0,37,32,5,155,5,1,0,0,159,159,0,14,14,0,109,109,0,16,16,0,0,0,0,0,0,125,58,5,0,1569,28.4031478,77.3105561,2475,0.355195177956372,64.4804822043628
234,Haryana,Fatehabad,0,0,0,59,1,0,0,30,2,28,21,7,0,0,0,43,43,0,4,4,0,71,71,0,7,7,0,1,0,0,0,0,34,34,0,0,467,29.5118108,75.42941638,195,0.027985074626865673,97.20149253731343
235,Haryana,GRP,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23.2236194,87.926521,19,0.0027267508610792192,99.72732491389208
236,Haryana,Gurugram,1,0,0,225,76,0,1,69,23,46,67,12,1,0,0,191,191,0,4,4,0,207,207,0,68,68,0,4,0,0,4,0,107,30,22,0,1628,28.4646148,77.0299194,1102,0.15815154994259473,84.18484500574053
237,Haryana,Hissar,0,0,0,88,0,0,0,13,13,0,71,4,0,0,0,106,106,0,0,0,0,283,283,0,33,33,0,0,0,0,0,0,63,39,23,0,1158,42.50468035,24.7006116,639,0.0917049368541906,90.82950631458094
238,Haryana,Jhajjar,0,0,0,109,0,0,0,25,14,11,29,55,0,0,0,50,50,0,14,14,0,76,76,0,19,19,0,3,3,0,0,0,41,10,12,0,630,28.53364155,76.68981478,285,0.04090126291618829,95.90987370838117
239,Haryana,Jind,0,0,0,90,0,0,0,50,50,0,34,6,0,0,0,47,47,0,12,12,0,84,84,0,5,5,0,0,0,0,0,0,48,29,5,0,608,29.30219685,76.33894452,306,0.0439150401836969,95.60849598163031
240,Haryana,Kaithal,2,1,0,156,0,0,0,83,83,0,45,28,1,0,0,44,44,0,3,3,0,72,72,0,2,2,0,1,0,0,0,0,30,11,7,0,690,29.82231125,76.37905536,434,0.06228473019517796,93.77152698048221
241,Haryana,Karnal,1,2,0,133,2,0,1,44,44,0,67,19,0,0,0,128,128,0,42,42,0,177,177,0,32,32,0,3,0,0,0,0,99,35,8,0,1216,29.6803266,76.9896254,652,0.09357060849598163,90.64293915040183
242,Haryana,Kurukshetra,0,0,0,148,0,0,0,98,45,53,0,50,0,0,0,93,93,0,18,18,0,176,176,0,9,9,0,3,0,0,0,0,52,40,0,0,1081,29.9693747,76.8482787,0,0.0,100.0
243,Haryana,Mahendergarh,0,0,0,42,1,0,0,16,16,0,20,5,0,0,0,39,39,0,1,1,0,67,67,0,13,13,0,5,1,1,3,0,21,16,2,0,389,28.2726226,76.1493925,219,0.03142939150401837,96.85706084959817
244,Haryana,Nuh,0,0,0,88,1,0,0,33,5,28,33,21,1,0,0,71,71,0,9,9,0,73,73,0,0,0,0,0,0,0,0,0,58,19,1,0,594,27.99351765,77.04196339,303,0.043484500574052815,95.65154994259471
245,Haryana,Palwal,0,2,0,107,8,2,0,33,33,0,59,5,0,0,0,64,64,0,18,18,0,178,178,0,7,7,0,0,0,0,0,0,60,42,6,0,891,28.1405741,77.3259802,617,0.08854764638346728,91.14523536165328
246,Haryana,Panchkula,0,0,0,87,0,0,0,4,0,4,18,65,0,0,0,40,40,0,7,7,0,62,62,0,9,9,0,2,2,0,0,0,42,5,3,0,468,30.6975401,76.8551066,178,0.025545350172215844,97.44546498277842
247,Haryana,Panipat,0,0,0,421,1,0,0,215,128,87,35,170,0,0,0,108,108,0,12,12,0,188,188,0,18,18,0,0,0,0,0,0,75,34,12,0,1830,29.3912753,76.9771675,321,0.046067738231917336,95.39322617680827
248,Haryana,Rewari,0,0,0,62,11,0,0,26,16,10,22,3,0,0,0,49,49,0,3,3,0,73,73,0,15,15,0,5,0,0,0,0,50,24,0,0,509,28.1956468,76.6165179,264,0.03788748564867968,96.21125143513203
249,Haryana,Rohtak,0,0,0,119,0,0,0,19,19,0,14,86,0,0,0,78,78,0,13,13,0,133,133,0,5,5,0,0,0,0,0,0,43,28,13,0,799,28.9010899,76.5801935,126,0.018082663605051664,98.19173363949484
250,Haryana,Sirsa,0,1,0,107,0,0,0,33,33,0,70,4,1,0,0,64,64,0,7,7,0,75,75,0,9,9,0,1,0,1,0,0,45,31,0,0,637,29.583333,75.083333,646,0.09270952927669346,90.72904707233064
251,Haryana,Sonipat,0,0,0,233,0,0,0,53,53,0,57,123,1,0,0,130,130,0,25,25,0,220,220,0,10,10,0,0,0,0,0,0,53,36,0,0,1379,28.9953758,77.0233627,513,0.07362227324913892,92.63777267508611
252,Haryana,Yamunanagar,0,0,0,162,0,0,0,72,47,25,0,90,2,0,0,105,105,0,17,17,0,84,84,0,9,9,0,0,0,0,0,0,78,31,4,0,941,30.1231349,77.286329,0,0.0,100.0
253,Haryana,Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6020184,77.18813265,0,0.0,100.0
254,Haryana,Charkhi Dadri,0,0,0,19,0,0,0,2,2,0,12,5,0,0,0,16,16,0,8,8,0,35,35,0,10,10,0,2,0,0,0,0,19,10,6,0,215,28.5919933,76.2719817,108,0.015499425947187142,98.45005740528129
255,Haryana,Hansi,0,0,0,21,0,0,0,6,6,0,13,2,0,0,0,22,22,0,5,4,1,61,61,0,7,7,0,0,0,0,0,0,19,19,5,0,281,29.1352917,75.97647564,117,0.016791044776119403,98.32089552238806
256,Himachal Pradesh,Baddi,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,36,12,24,0,0,0,22,15,7,1,1,0,1,1,0,0,0,0,0,0,0,152,30.9763026,76.76740008,108,0.015499425947187142,98.45005740528129
257,Himachal Pradesh,Bilaspur,0,0,0,19,18,0,0,1,1,0,0,0,0,0,0,13,5,8,1,1,0,32,29,3,4,4,0,0,0,0,0,0,0,0,0,0,139,28.868311,79.29807497,108,0.015499425947187142,98.45005740528129
258,Himachal Pradesh,Chamba,0,0,0,23,0,0,0,23,2,21,0,0,0,0,0,25,9,16,0,0,0,32,29,3,4,4,0,0,0,0,0,0,0,0,0,0,191,32.5,76.5,0,0.0,100.0
259,Himachal Pradesh,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.597127,-122.325704,0,0.0,100.0
260,Himachal Pradesh,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2236194,87.926521,0,0.0,100.0
261,Himachal Pradesh,Hamirpur,0,0,0,19,0,0,0,19,2,17,0,0,0,0,0,6,2,4,1,1,0,41,39,2,12,12,0,0,0,0,0,0,0,0,0,0,177,25.75,80.0,0,0.0,100.0
262,Himachal Pradesh,Kangra,0,0,0,53,46,0,0,5,2,3,1,1,0,0,0,53,31,22,5,2,3,101,85,16,12,12,0,0,0,0,0,0,0,2,0,0,455,32.166667,76.25,285,0.04090126291618829,95.90987370838117
263,Himachal Pradesh,Kinnaur,0,0,0,10,0,0,0,0,0,0,3,7,0,0,0,11,3,8,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,56,31.59301295,78.32814169,27,0.0038748564867967855,99.61251435132033
264,Himachal Pradesh,Kullu,0,0,0,31,29,0,0,0,0,0,0,2,0,0,0,30,12,18,1,0,1,31,26,5,10,10,0,0,0,0,0,0,0,1,0,0,207,32.00186325,77.3789964,174,0.02497129735935706,97.50287026406428
265,Himachal Pradesh,Lahaul & Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,32.368507,78.08627749,0,0.0,100.0
266,Himachal Pradesh,Mandi,0,0,0,35,0,0,0,35,3,32,0,0,0,0,0,57,24,33,1,1,0,75,61,14,11,11,0,0,0,0,0,0,0,2,0,0,395,31.7084496,76.9293782,0,0.0,100.0
267,Himachal Pradesh,Shimla,0,0,0,37,0,0,0,37,0,37,0,0,0,0,0,38,14,24,0,0,0,46,40,6,10,10,0,1,0,0,0,0,0,0,0,0,300,31.1041526,77.1709729,0,0.0,100.0
268,Himachal Pradesh,Sirmaur,2,0,0,27,22,0,0,4,3,1,0,1,0,0,0,48,21,27,0,0,0,54,42,12,3,2,1,0,0,0,0,0,0,0,0,0,270,30.75,77.5,152,0.021814006888633754,97.81859931113662
269,Himachal Pradesh,Solan,0,0,0,35,34,0,0,1,1,0,0,0,0,0,0,17,6,11,0,0,0,19,10,9,4,4,0,1,0,0,0,0,0,0,0,0,152,30.92589585,77.08200509,204,0.029276693455797934,97.0723306544202
270,Himachal Pradesh,Una,0,0,0,21,16,0,0,5,1,4,0,0,0,0,0,24,6,18,0,0,0,31,23,8,5,5,0,0,0,0,0,0,0,0,0,0,167,31.583333,76.25,96,0.013777267508610792,98.62227324913893
271,Himachal Pradesh,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7113343,3.0897036,0,0.0,100.0
272,Jharkand,Bokaro,0,0,0,81,0,0,0,81,0,81,0,0,0,0,0,60,60,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,45,0,0,0,566,23.69912795,85.99106894,0,0.0,100.0
273,Jharkand,Chaibasa,0,0,0,13,8,0,0,4,4,0,0,1,2,0,0,40,40,0,3,3,0,20,20,0,0,0,0,0,0,0,0,0,35,0,0,0,193,22.5483518,85.81888765,48,0.006888633754305396,99.31113662456946
274,Jharkand,Chatra,0,1,0,43,0,0,0,19,0,19,0,24,1,0,0,25,25,0,4,4,0,13,13,0,0,0,0,0,0,0,0,0,18,0,0,0,209,24.20162495,84.87817692,9,0.0012916188289322618,99.87083811710677
275,Jharkand,Deoghar,0,0,0,70,14,0,0,34,25,9,22,0,0,0,0,55,38,17,0,0,0,121,121,0,0,0,0,0,0,0,0,0,2,2,0,0,530,24.4766423,86.60673245,282,0.0404707233065442,95.95292766934558
276,Jharkand,Dhanbad,0,0,0,35,0,0,0,35,35,0,0,0,0,0,0,77,69,8,12,12,0,112,108,4,0,0,0,0,0,0,0,0,4,76,34,0,621,23.7952809,86.4309638,0,0.0,100.0
277,Jharkand,Dhanbad Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23.7886205,86.43152688,0,0.0,100.0
278,Jharkand,Dumka,0,1,0,37,16,0,0,21,0,21,0,0,3,0,0,34,34,0,4,4,0,36,36,0,0,0,0,0,0,0,0,0,24,18,0,0,289,24.2538512,87.30064714,105,0.015068886337543054,98.49311136624569
279,Jharkand,Garhwa,0,0,0,76,0,0,0,33,33,0,43,0,1,0,0,36,36,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,59,12,4,0,473,24.15529035,83.82522584,387,0.05553960964408726,94.44603903559128
280,Jharkand,Giridih,0,0,0,205,0,0,0,120,80,40,85,0,3,0,0,99,66,33,3,3,0,44,0,44,0,0,0,0,0,0,0,0,10,0,0,0,835,24.1608897,86.25113503,765,0.10978760045924225,89.02123995407577
281,Jharkand,Godda,4,0,1,93,8,0,0,35,35,0,50,0,2,1,0,48,48,0,2,2,0,162,162,0,0,0,0,0,0,0,0,0,24,0,0,0,677,24.74334305,87.29285062,555,0.07964982778415615,92.03501722158438
